persona,task_index,condition,criterion_name,round_1_score,round_5_score,improvement,criterion_priority,criterion_category
Alex Chen,0,D,Emotional Arc Sequencing,8.333333333333334,7.333333333333333,-1.0000000000000009,1.0,Structure
Alex Chen,1,C,Single-Owner Action Items,9.333333333333334,9.0,-0.3333333333333339,2.0,Content
Alex Chen,1,C,No Trailing Sentiment,10.0,10.0,0.0,3.0,Style
Alex Chen,1,C,Compression Without Ambiguity,9.333333333333334,9.0,-0.3333333333333339,4.0,Style
Alex Chen,1,C,Emotional Arc Sequencing,9.333333333333334,7.0,-2.333333333333334,1.0,Structure
Alex Chen,1,D,Single-Owner Action Items,7.0,10.0,3.0,2.0,Content
Alex Chen,1,D,No Trailing Sentiment,10.0,10.0,0.0,3.0,Style
Alex Chen,1,D,Compression Without Ambiguity,9.0,10.0,1.0,4.0,Style
Alex Chen,1,D,Emotional Arc Sequencing,9.0,10.0,1.0,1.0,Structure
Carmen Vasquez,0,C,Recipient-Interest Framing,8.0,8.0,0.0,3.0,Content
Carmen Vasquez,0,C,CC Audience Awareness,7.0,9.0,2.0,1.0,Audience
Carmen Vasquez,0,C,Directive Clarity,9.0,9.666666666666666,0.6666666666666661,2.0,Style
Carmen Vasquez,0,C,Voice Matching,4.0,6.333333333333333,2.333333333333333,4.0,Style
Carmen Vasquez,0,D,Recipient-Interest Framing,7.0,8.666666666666666,1.666666666666666,3.0,Content
Carmen Vasquez,0,D,CC Audience Awareness,8.0,9.0,1.0,1.0,Audience
Carmen Vasquez,0,D,Directive Clarity,9.0,9.0,0.0,2.0,Style
Carmen Vasquez,0,D,Voice Matching,5.0,8.0,3.0,4.0,Style
Carmen Vasquez,1,C,Recipient-Interest Framing,9.0,9.0,0.0,3.0,Content
Carmen Vasquez,1,C,CC Audience Awareness,9.0,8.0,-1.0,1.0,Audience
Carmen Vasquez,1,C,Directive Clarity,9.333333333333334,9.0,-0.3333333333333339,2.0,Style
Carmen Vasquez,1,C,Voice Matching,5.0,5.0,0.0,4.0,Style
Carmen Vasquez,1,D,Recipient-Interest Framing,9.0,9.0,0.0,3.0,Content
Carmen Vasquez,1,D,CC Audience Awareness,8.0,9.0,1.0,1.0,Audience
Carmen Vasquez,1,D,Directive Clarity,9.0,9.0,0.0,2.0,Style
Carmen Vasquez,1,D,Voice Matching,5.0,8.0,3.0,4.0,Style
Derek Liang,0,C,Raw Evidence Over Prose Description,4.666666666666667,10.0,5.333333333333333,2.0,Content
Derek Liang,0,C,Single Responder Principle,7.666666666666667,10.0,2.333333333333333,3.0,Audience
Derek Liang,0,C,Radical Brevity,8.333333333333334,9.666666666666666,1.3333333333333321,4.0,Style
Derek Liang,0,C,Subject Line as Message,9.0,10.0,1.0,1.0,Structure
Derek Liang,0,D,Raw Evidence Over Prose Description,4.333333333333333,10.0,5.666666666666667,2.0,Content
Derek Liang,0,D,Single Responder Principle,9.333333333333334,10.0,0.6666666666666661,3.0,Audience
Derek Liang,0,D,Radical Brevity,9.0,10.0,1.0,4.0,Style
Derek Liang,0,D,Subject Line as Message,9.0,10.0,1.0,1.0,Structure
Derek Liang,1,C,Raw Evidence Over Prose Description,4.666666666666667,7.333333333333333,2.666666666666666,2.0,Content
Derek Liang,1,C,Single Responder Principle,9.0,10.0,1.0,3.0,Audience
Derek Liang,1,C,Radical Brevity,8.0,9.333333333333334,1.333333333333334,4.0,Style
Derek Liang,1,C,Subject Line as Message,9.0,9.0,0.0,1.0,Structure
Derek Liang,1,D,Raw Evidence Over Prose Description,5.0,9.0,4.0,2.0,Content
Derek Liang,1,D,Single Responder Principle,8.666666666666666,10.0,1.333333333333334,3.0,Audience
Derek Liang,1,D,Radical Brevity,9.333333333333334,9.0,-0.3333333333333339,4.0,Style
Derek Liang,1,D,Subject Line as Message,9.0,10.0,1.0,1.0,Structure
James Okafor,0,C,Patient Flow Impact First,9.0,9.0,0.0,1.0,Structure
James Okafor,0,C,Bounded Process Steps,9.0,10.0,1.0,4.0,Structure
James Okafor,0,C,Fallback Procedures Included,10.0,10.0,0.0,2.0,Content
James Okafor,0,C,No Patient Identifiers,10.0,10.0,0.0,3.0,Audience
James Okafor,0,D,Patient Flow Impact First,9.0,10.0,1.0,1.0,Structure
James Okafor,0,D,Bounded Process Steps,10.0,10.0,0.0,4.0,Structure
James Okafor,0,D,Fallback Procedures Included,10.0,10.0,0.0,2.0,Content
James Okafor,0,D,No Patient Identifiers,10.0,10.0,0.0,3.0,Audience
James Okafor,1,C,Patient Flow Impact First,9.0,9.0,0.0,1.0,Structure
James Okafor,1,C,Bounded Process Steps,10.0,10.0,0.0,4.0,Structure
James Okafor,1,C,Fallback Procedures Included,10.0,10.0,0.0,2.0,Content
James Okafor,1,C,No Patient Identifiers,10.0,10.0,0.0,3.0,Audience
James Okafor,1,D,"Bounded Process Steps (priority 4, category: Structure, confidence: high)",9.0,0.0,-9.0,,
James Okafor,1,D,"Patient Flow Impact First (priority 1, category: Structure, confidence: high)",9.0,0.0,-9.0,,
James Okafor,1,D,No Patient Identifiers,10.0,10.0,0.0,3.0,Audience
James Okafor,1,D,"No Patient Identifiers (priority 3, category: Audience, confidence: high)",10.0,0.0,-10.0,,
James Okafor,1,D,Bounded Process Steps,10.0,10.0,0.0,4.0,Structure
James Okafor,1,D,Fallback Procedures Included,10.0,10.0,0.0,2.0,Content
James Okafor,1,D,"Fallback Procedures Included (priority 2, category: Content, confidence: high)",10.0,0.0,-10.0,,
James Okafor,1,D,Patient Flow Impact First,9.0,10.0,1.0,1.0,Structure
Kofi Mensah,0,C,Risk-First Internal Updates,5.0,10.0,5.0,4.0,Structure
Kofi Mensah,0,C,No Commercial Terms in Writing,10.0,10.0,0.0,2.0,Content
Kofi Mensah,0,C,Specific Callback,9.0,10.0,1.0,1.0,Content
Kofi Mensah,0,C,Re-engagement Over Check-ins,8.0,10.0,2.0,3.0,Style
Kofi Mensah,0,D,Risk-First Internal Updates,5.0,10.0,5.0,4.0,Structure
Kofi Mensah,0,D,No Commercial Terms in Writing,10.0,10.0,0.0,2.0,Content
Kofi Mensah,0,D,Specific Callback,9.0,10.0,1.0,1.0,Content
Kofi Mensah,0,D,Re-engagement Over Check-ins,9.0,10.0,1.0,3.0,Style
Kofi Mensah,1,C,Risk-First Internal Updates,5.0,10.0,5.0,4.0,Structure
Kofi Mensah,1,C,No Commercial Terms in Writing,8.666666666666666,10.0,1.333333333333334,2.0,Content
Kofi Mensah,1,C,Specific Callback,9.0,10.0,1.0,1.0,Content
Kofi Mensah,1,C,Re-engagement Over Check-ins,7.666666666666667,10.0,2.333333333333333,3.0,Style
Kofi Mensah,1,D,Risk-First Internal Updates,3.6666666666666665,10.0,6.333333333333334,4.0,Structure
Kofi Mensah,1,D,No Commercial Terms in Writing,7.0,10.0,3.0,2.0,Content
Kofi Mensah,1,D,Specific Callback,9.0,10.0,1.0,1.0,Content
Kofi Mensah,1,D,Re-engagement Over Check-ins,8.666666666666666,10.0,1.333333333333334,3.0,Style
Lin Zhang,0,C,Budget Gap Transparency,5.0,5.0,0.0,2.0,Content
Lin Zhang,0,C,Direct Resource Provision,9.333333333333334,10.0,0.6666666666666661,3.0,Content
Lin Zhang,0,C,Transparent CC Purpose,7.333333333333333,10.0,2.666666666666667,4.0,Audience
Lin Zhang,0,C,External Constraint Framing,10.0,10.0,0.0,1.0,Audience
Lin Zhang,0,D,Budget Gap Transparency,5.0,10.0,5.0,2.0,Content
Lin Zhang,0,D,Direct Resource Provision,9.0,10.0,1.0,3.0,Content
Lin Zhang,0,D,Transparent CC Purpose,6.666666666666667,10.0,3.333333333333333,4.0,Audience
Lin Zhang,0,D,External Constraint Framing,9.0,10.0,1.0,1.0,Audience
Lin Zhang,1,C,Budget Gap Transparency,9.0,10.0,1.0,2.0,Content
Lin Zhang,1,C,Direct Resource Provision,8.333333333333334,10.0,1.666666666666666,3.0,Content
Lin Zhang,1,C,Transparent CC Purpose,6.0,10.0,4.0,4.0,Audience
Lin Zhang,1,C,External Constraint Framing,7.0,10.0,3.0,1.0,Audience
Lin Zhang,1,D,Budget Gap Transparency,9.0,10.0,1.0,2.0,Content
Lin Zhang,1,D,Direct Resource Provision,9.0,10.0,1.0,3.0,Content
Lin Zhang,1,D,Transparent CC Purpose,5.666666666666667,10.0,4.333333333333333,4.0,Audience
Lin Zhang,1,D,External Constraint Framing,7.0,9.0,2.0,1.0,Audience
Miriam Osei,0,C,Named Human Contact Point,5.333333333333333,1.0,-4.333333333333333,2.0,Content
Miriam Osei,0,C,Decision Attribution,9.333333333333334,1.0,-8.333333333333334,3.0,Style
Miriam Osei,0,C,Problem-First Policy Framing,10.0,1.0,-9.0,1.0,Structure
Miriam Osei,0,C,Absolute Date Precision,9.0,1.0,-8.0,4.0,Content
Miriam Osei,0,D,Named Human Contact Point,10.0,1.0,-9.0,2.0,Content
Miriam Osei,0,D,Decision Attribution,10.0,1.0,-9.0,3.0,Style
Miriam Osei,0,D,Problem-First Policy Framing,10.0,1.0,-9.0,1.0,Structure
Miriam Osei,0,D,Absolute Date Precision,10.0,1.0,-9.0,4.0,Content
Miriam Osei,1,C,Named Human Contact Point,10.0,10.0,0.0,2.0,Content
Miriam Osei,1,C,Decision Attribution,10.0,10.0,0.0,3.0,Style
Miriam Osei,1,C,Problem-First Policy Framing,9.0,10.0,1.0,1.0,Structure
Miriam Osei,1,C,Absolute Date Precision,10.0,10.0,0.0,4.0,Content
Miriam Osei,1,D,Named Human Contact Point,10.0,10.0,0.0,2.0,Content
Miriam Osei,1,D,Decision Attribution,10.0,10.0,0.0,3.0,Style
Miriam Osei,1,D,Problem-First Policy Framing,9.0,10.0,1.0,1.0,Structure
Miriam Osei,1,D,Absolute Date Precision,10.0,10.0,0.0,4.0,Content
Rachel Thornton,0,C,Thread Discipline,10.0,10.0,0.0,4.0,Structure
Rachel Thornton,0,C,"Link, Don't Duplicate",9.0,9.666666666666666,0.6666666666666661,2.0,Content
Rachel Thornton,0,C,Decision Tradeoff Transparency,10.0,10.0,0.0,1.0,Content
Rachel Thornton,0,C,Scoped Review Requests,10.0,10.0,0.0,3.0,Audience
Rachel Thornton,0,D,Thread Discipline,10.0,10.0,0.0,4.0,Structure
Rachel Thornton,0,D,"Link, Don't Duplicate",9.0,10.0,1.0,2.0,Content
Rachel Thornton,0,D,Decision Tradeoff Transparency,10.0,10.0,0.0,1.0,Content
Rachel Thornton,0,D,Scoped Review Requests,7.0,10.0,3.0,3.0,Audience
Rachel Thornton,1,C,Thread Discipline,9.666666666666666,9.333333333333334,-0.33333333333333215,4.0,Structure
Rachel Thornton,1,C,"Link, Don't Duplicate",9.0,9.0,0.0,2.0,Content
Rachel Thornton,1,C,Decision Tradeoff Transparency,10.0,10.0,0.0,1.0,Content
Rachel Thornton,1,C,Scoped Review Requests,10.0,10.0,0.0,3.0,Audience
Rachel Thornton,1,D,Thread Discipline,10.0,10.0,0.0,4.0,Structure
Rachel Thornton,1,D,"Link, Don't Duplicate",8.0,10.0,2.0,2.0,Content
Rachel Thornton,1,D,Decision Tradeoff Transparency,9.0,10.0,1.0,1.0,Content
Rachel Thornton,1,D,Scoped Review Requests,10.0,10.0,0.0,3.0,Audience
Tom Brennan,0,C,"Arbitration-Ready Language (priority 2, category: Style, confidence: high)",9.333333333333334,10.0,0.6666666666666661,,
Tom Brennan,0,C,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",8.0,10.0,2.0,,
Tom Brennan,0,C,"Notification/Request Separation (priority 3, category: Structure, confidence: high)",10.0,10.0,0.0,,
Tom Brennan,0,C,"Visual Documentation Attached (priority 4, category: Content, confidence: high)",10.0,10.0,0.0,,
Tom Brennan,0,D,"Arbitration-Ready Language (priority 2, category: Style, confidence: high)",10.0,10.0,0.0,,
Tom Brennan,0,D,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",9.0,10.0,1.0,,
Tom Brennan,0,D,"Notification/Request Separation (priority 3, category: Structure, confidence: high)",9.0,10.0,1.0,,
Tom Brennan,0,D,"Visual Documentation Attached (priority 4, category: Content, confidence: high)",10.0,10.0,0.0,,
Tom Brennan,1,C,"Arbitration-Ready Language (priority 2, category: Style, confidence: high)",9.0,10.0,1.0,,
Tom Brennan,1,C,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",9.0,10.0,1.0,,
Tom Brennan,1,C,Cost/Schedule Impact First,0.0,10.0,10.0,1.0,Structure
Tom Brennan,1,C,"Notification/Request Separation (priority 3, category: Structure, confidence: high)",9.666666666666666,10.0,0.3333333333333339,,
Tom Brennan,1,C,Arbitration-Ready Language,0.0,10.0,10.0,2.0,Style
Tom Brennan,1,C,Notification/Request Separation,0.0,10.0,10.0,3.0,Structure
Tom Brennan,1,C,"Visual Documentation Attached (priority 4, category: Content, confidence: high)",5.0,10.0,5.0,,
Tom Brennan,1,C,Visual Documentation Attached,0.0,10.0,10.0,4.0,Content
Tom Brennan,1,D,"Arbitration-Ready Language (priority 2, category: Style, confidence: high)",9.666666666666666,10.0,0.3333333333333339,,
Tom Brennan,1,D,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",9.333333333333334,10.0,0.6666666666666661,,
Tom Brennan,1,D,"Notification/Request Separation (priority 3, category: Structure, confidence: high)",10.0,10.0,0.0,,
Tom Brennan,1,D,"Visual Documentation Attached (priority 4, category: Content, confidence: high)",9.333333333333334,10.0,0.6666666666666661,,
