persona,task_index,condition,round,criterion_name,mean_score,std_score,overall_weighted_mean
Alex Chen,0,C,2,No Trailing Sentiment,10.0,0.0,0.87
Alex Chen,0,C,2,Compression Without Ambiguity,8.0,0.0,0.87
Alex Chen,0,C,3,Emotional Arc Sequencing,8.0,0.0,0.8133333333333332
Alex Chen,0,C,3,Single-Owner Action Items,9.0,0.0,0.8133333333333332
Alex Chen,0,C,3,No Trailing Sentiment,7.0,0.0,0.8133333333333332
Alex Chen,0,C,3,Compression Without Ambiguity,8.333333333333334,0.5773502691896257,0.8133333333333332
Alex Chen,0,C,4,Emotional Arc Sequencing,9.0,0.0,0.95
Alex Chen,0,C,4,Single-Owner Action Items,10.0,0.0,0.95
Alex Chen,0,C,4,No Trailing Sentiment,10.0,0.0,0.95
Alex Chen,0,C,4,Compression Without Ambiguity,9.0,0.0,0.95
Alex Chen,0,C,5,Emotional Arc Sequencing,9.0,0.0,0.9466666666666668
Alex Chen,0,C,5,Single-Owner Action Items,10.0,0.0,0.9466666666666668
Alex Chen,0,C,5,No Trailing Sentiment,10.0,0.0,0.9466666666666668
Alex Chen,0,C,5,Compression Without Ambiguity,8.666666666666666,0.5773502691896257,0.9466666666666668
Alex Chen,0,D,1,Emotional Arc Sequencing,8.333333333333334,0.5773502691896257,0.83
Alex Chen,0,D,1,Single-Owner Action Items,9.0,0.0,0.83
Alex Chen,0,D,1,No Trailing Sentiment,7.333333333333333,1.5275252316519468,0.83
Alex Chen,0,D,1,Compression Without Ambiguity,8.0,0.0,0.83
Alex Chen,0,D,2,Emotional Arc Sequencing,9.0,0.0,0.91
Alex Chen,0,D,2,Single-Owner Action Items,9.0,0.0,0.91
Alex Chen,0,D,2,No Trailing Sentiment,10.0,0.0,0.91
Alex Chen,0,D,2,Compression Without Ambiguity,8.0,0.0,0.91
Alex Chen,0,D,3,Emotional Arc Sequencing,8.0,0.0,0.8766666666666667
Alex Chen,0,D,3,Single-Owner Action Items,9.0,0.0,0.8766666666666667
Alex Chen,0,D,3,No Trailing Sentiment,10.0,0.0,0.8766666666666667
Alex Chen,0,D,3,Compression Without Ambiguity,8.666666666666666,0.5773502691896257,0.8766666666666667
Alex Chen,0,D,4,Emotional Arc Sequencing,8.0,0.0,0.84
Alex Chen,0,D,4,Single-Owner Action Items,7.666666666666667,1.1547005383792515,0.84
Alex Chen,0,D,4,No Trailing Sentiment,10.0,0.0,0.84
Alex Chen,0,D,4,Compression Without Ambiguity,9.0,0.0,0.84
Alex Chen,0,D,5,Emotional Arc Sequencing,7.333333333333333,0.5773502691896257,0.7533333333333333
Alex Chen,0,D,5,Single-Owner Action Items,6.0,0.0,0.7533333333333333
Alex Chen,0,D,5,No Trailing Sentiment,10.0,0.0,0.7533333333333333
Alex Chen,0,D,5,Compression Without Ambiguity,8.0,0.0,0.7533333333333333
Alex Chen,1,A,1,Emotional Arc Sequencing,9.0,0.0,0.92
Alex Chen,1,A,1,Single-Owner Action Items,9.0,0.0,0.92
Alex Chen,1,A,1,No Trailing Sentiment,10.0,0.0,0.92
Alex Chen,1,A,1,Compression Without Ambiguity,9.0,0.0,0.92
Alex Chen,1,C,1,Emotional Arc Sequencing,9.333333333333334,0.5773502691896257,0.9466666666666668
Alex Chen,1,C,1,Single-Owner Action Items,9.333333333333334,0.5773502691896257,0.9466666666666668
Alex Chen,1,C,1,No Trailing Sentiment,10.0,0.0,0.9466666666666668
Alex Chen,1,C,1,Compression Without Ambiguity,9.333333333333334,0.5773502691896257,0.9466666666666668
Alex Chen,1,C,2,Emotional Arc Sequencing,8.0,0.0,0.8633333333333333
Alex Chen,1,C,2,Single-Owner Action Items,9.0,0.0,0.8633333333333333
Alex Chen,1,C,2,No Trailing Sentiment,10.0,0.0,0.8633333333333333
Alex Chen,1,C,2,Compression Without Ambiguity,7.333333333333333,0.5773502691896257,0.8633333333333333
Alex Chen,1,C,3,Emotional Arc Sequencing,9.0,0.0,0.88
Alex Chen,1,C,3,Single-Owner Action Items,7.666666666666667,0.5773502691896257,0.88
Alex Chen,1,C,3,No Trailing Sentiment,10.0,0.0,0.88
Alex Chen,1,C,3,Compression Without Ambiguity,9.0,0.0,0.88
Alex Chen,1,C,4,Emotional Arc Sequencing,9.0,0.0,0.9033333333333333
Alex Chen,1,C,4,Single-Owner Action Items,8.333333333333334,1.1547005383792515,0.9033333333333333
Alex Chen,1,C,4,No Trailing Sentiment,10.0,0.0,0.9033333333333333
Alex Chen,1,C,4,Compression Without Ambiguity,9.333333333333334,0.5773502691896257,0.9033333333333333
Alex Chen,1,C,5,Emotional Arc Sequencing,7.0,0.0,0.84
Alex Chen,1,C,5,Single-Owner Action Items,9.0,0.0,0.84
Alex Chen,1,C,5,No Trailing Sentiment,10.0,0.0,0.84
Alex Chen,1,C,5,Compression Without Ambiguity,9.0,0.0,0.84
Alex Chen,1,D,1,Emotional Arc Sequencing,9.0,0.0,0.86
Alex Chen,1,D,1,Single-Owner Action Items,7.0,0.0,0.86
Alex Chen,1,D,1,No Trailing Sentiment,10.0,0.0,0.86
Alex Chen,1,D,1,Compression Without Ambiguity,9.0,0.0,0.86
Alex Chen,1,D,2,Emotional Arc Sequencing,9.0,0.0,0.89
Alex Chen,1,D,2,Single-Owner Action Items,8.0,0.0,0.89
Alex Chen,1,D,2,No Trailing Sentiment,10.0,0.0,0.89
Alex Chen,1,D,2,Compression Without Ambiguity,9.0,0.0,0.89
Alex Chen,1,D,3,Emotional Arc Sequencing,10.0,0.0,1.0
Alex Chen,1,D,3,Single-Owner Action Items,10.0,0.0,1.0
Alex Chen,1,D,3,No Trailing Sentiment,10.0,0.0,1.0
Alex Chen,1,D,3,Compression Without Ambiguity,10.0,0.0,1.0
Alex Chen,1,D,4,Emotional Arc Sequencing,10.0,0.0,0.9966666666666667
Alex Chen,1,D,4,Single-Owner Action Items,10.0,0.0,0.9966666666666667
Alex Chen,1,D,4,No Trailing Sentiment,10.0,0.0,0.9966666666666667
Alex Chen,1,D,4,Compression Without Ambiguity,9.666666666666666,0.5773502691896257,0.9966666666666667
Alex Chen,1,D,5,Emotional Arc Sequencing,10.0,0.0,1.0
Alex Chen,1,D,5,Single-Owner Action Items,10.0,0.0,1.0
Alex Chen,1,D,5,No Trailing Sentiment,10.0,0.0,1.0
Alex Chen,1,D,5,Compression Without Ambiguity,10.0,0.0,1.0
Carmen Vasquez,0,A,1,CC Audience Awareness,8.0,0.0,0.7933333333333333
Carmen Vasquez,0,A,1,Directive Clarity,9.0,0.0,0.7933333333333333
Carmen Vasquez,0,A,1,Recipient-Interest Framing,8.0,0.0,0.7933333333333333
Carmen Vasquez,0,A,1,Voice Matching,4.333333333333333,0.5773502691896257,0.7933333333333333
Carmen Vasquez,0,C,1,CC Audience Awareness,7.0,0.0,0.75
Carmen Vasquez,0,C,1,Directive Clarity,9.0,0.0,0.75
Carmen Vasquez,0,C,1,Recipient-Interest Framing,8.0,0.0,0.75
Carmen Vasquez,0,C,1,Voice Matching,4.0,0.0,0.75
Carmen Vasquez,0,C,2,CC Audience Awareness,8.0,0.0,0.8133333333333332
Carmen Vasquez,0,C,2,Directive Clarity,9.0,0.0,0.8133333333333332
Carmen Vasquez,0,C,2,Recipient-Interest Framing,8.0,0.0,0.8133333333333332
Carmen Vasquez,0,C,2,Voice Matching,6.333333333333333,0.5773502691896257,0.8133333333333332
Carmen Vasquez,0,C,3,CC Audience Awareness,1.6666666666666667,1.1547005383792515,0.18
Carmen Vasquez,0,C,3,Directive Clarity,2.3333333333333335,0.5773502691896257,0.18
Carmen Vasquez,0,C,3,Recipient-Interest Framing,1.6666666666666667,0.5773502691896257,0.18
Carmen Vasquez,0,C,3,Voice Matching,1.0,0.0,0.18
Carmen Vasquez,0,C,4,CC Audience Awareness,8.0,0.0,0.81
Carmen Vasquez,0,C,4,Directive Clarity,9.0,0.0,0.81
Carmen Vasquez,0,C,4,Recipient-Interest Framing,8.0,0.0,0.81
Carmen Vasquez,0,C,4,Voice Matching,6.0,0.0,0.81
Carmen Vasquez,0,C,5,CC Audience Awareness,9.0,0.0,0.8733333333333333
Carmen Vasquez,0,C,5,Directive Clarity,9.666666666666666,0.5773502691896257,0.8733333333333333
Carmen Vasquez,0,C,5,Recipient-Interest Framing,8.0,0.0,0.8733333333333333
Carmen Vasquez,0,C,5,Voice Matching,6.333333333333333,0.5773502691896257,0.8733333333333333
Carmen Vasquez,0,D,1,CC Audience Awareness,8.0,0.0,0.78
Carmen Vasquez,0,D,1,Directive Clarity,9.0,0.0,0.78
Carmen Vasquez,0,D,1,Recipient-Interest Framing,7.0,0.0,0.78
Carmen Vasquez,0,D,1,Voice Matching,5.0,0.0,0.78
Carmen Vasquez,0,D,2,CC Audience Awareness,7.0,0.0,0.7266666666666667
Carmen Vasquez,0,D,2,Directive Clarity,8.0,0.0,0.7266666666666667
Carmen Vasquez,0,D,2,Recipient-Interest Framing,8.0,0.0,0.7266666666666667
Carmen Vasquez,0,D,2,Voice Matching,4.666666666666667,0.5773502691896257,0.7266666666666667
Carmen Vasquez,0,D,3,CC Audience Awareness,9.0,0.0,0.89
Carmen Vasquez,0,D,3,Directive Clarity,9.0,0.0,0.89
Carmen Vasquez,0,D,3,Recipient-Interest Framing,9.0,0.0,0.89
Carmen Vasquez,0,D,3,Voice Matching,8.0,0.0,0.89
Carmen Vasquez,0,D,4,CC Audience Awareness,9.0,0.0,0.87
Carmen Vasquez,0,D,4,Directive Clarity,9.0,0.0,0.87
Carmen Vasquez,0,D,4,Recipient-Interest Framing,8.0,0.0,0.87
Carmen Vasquez,0,D,4,Voice Matching,8.0,0.0,0.87
Carmen Vasquez,0,D,5,CC Audience Awareness,9.0,0.0,0.8833333333333333
Carmen Vasquez,0,D,5,Directive Clarity,9.0,0.0,0.8833333333333333
Carmen Vasquez,0,D,5,Recipient-Interest Framing,8.666666666666666,0.5773502691896257,0.8833333333333333
Carmen Vasquez,0,D,5,Voice Matching,8.0,0.0,0.8833333333333333
Carmen Vasquez,1,A,1,CC Audience Awareness,8.0,0.0,0.8166666666666668
Carmen Vasquez,1,A,1,Directive Clarity,9.0,0.0,0.8166666666666668
Carmen Vasquez,1,A,1,Recipient-Interest Framing,9.0,0.0,0.8166666666666668
Carmen Vasquez,1,A,1,Voice Matching,4.666666666666667,0.5773502691896257,0.8166666666666668
Carmen Vasquez,1,C,1,CC Audience Awareness,9.0,0.0,0.87
Carmen Vasquez,1,C,1,Directive Clarity,9.333333333333334,0.5773502691896257,0.87
Carmen Vasquez,1,C,1,Recipient-Interest Framing,9.0,0.0,0.87
Carmen Vasquez,1,C,1,Voice Matching,5.0,0.0,0.87
Carmen Vasquez,1,C,2,CC Audience Awareness,8.333333333333334,0.5773502691896257,0.8033333333333335
Carmen Vasquez,1,C,2,Directive Clarity,8.0,0.0,0.8033333333333335
Carmen Vasquez,1,C,2,Recipient-Interest Framing,9.0,0.0,0.8033333333333335
Carmen Vasquez,1,C,2,Voice Matching,5.0,0.0,0.8033333333333335
Carmen Vasquez,1,C,3,CC Audience Awareness,8.0,0.0,0.82
Carmen Vasquez,1,C,3,Directive Clarity,9.0,0.0,0.82
Carmen Vasquez,1,C,3,Recipient-Interest Framing,9.0,0.0,0.82
Carmen Vasquez,1,C,3,Voice Matching,5.0,0.0,0.82
Carmen Vasquez,1,C,4,CC Audience Awareness,8.0,0.0,0.8166666666666665
Carmen Vasquez,1,C,4,Directive Clarity,9.0,0.0,0.8166666666666665
Carmen Vasquez,1,C,4,Recipient-Interest Framing,8.666666666666666,0.5773502691896257,0.8166666666666665
Carmen Vasquez,1,C,4,Voice Matching,5.333333333333333,0.5773502691896257,0.8166666666666665
Carmen Vasquez,1,C,5,CC Audience Awareness,8.0,0.0,0.82
Carmen Vasquez,1,C,5,Directive Clarity,9.0,0.0,0.82
Carmen Vasquez,1,C,5,Recipient-Interest Framing,9.0,0.0,0.82
Carmen Vasquez,1,C,5,Voice Matching,5.0,0.0,0.82
Carmen Vasquez,1,D,1,CC Audience Awareness,8.0,0.0,0.82
Carmen Vasquez,1,D,1,Directive Clarity,9.0,0.0,0.82
Carmen Vasquez,1,D,1,Recipient-Interest Framing,9.0,0.0,0.82
Carmen Vasquez,1,D,1,Voice Matching,5.0,0.0,0.82
Carmen Vasquez,1,D,2,CC Audience Awareness,9.0,0.0,0.85
Carmen Vasquez,1,D,2,Directive Clarity,9.0,0.0,0.85
Carmen Vasquez,1,D,2,Recipient-Interest Framing,8.0,0.0,0.85
Carmen Vasquez,1,D,2,Voice Matching,6.0,0.0,0.85
Carmen Vasquez,1,D,3,CC Audience Awareness,9.0,0.0,0.89
Carmen Vasquez,1,D,3,Directive Clarity,9.0,0.0,0.89
Carmen Vasquez,1,D,3,Recipient-Interest Framing,9.0,0.0,0.89
Carmen Vasquez,1,D,3,Voice Matching,8.0,0.0,0.89
Carmen Vasquez,1,D,4,CC Audience Awareness,9.0,0.0,0.8866666666666667
Carmen Vasquez,1,D,4,Directive Clarity,9.0,0.0,0.8866666666666667
Carmen Vasquez,1,D,4,Recipient-Interest Framing,9.0,0.0,0.8866666666666667
Carmen Vasquez,1,D,4,Voice Matching,7.666666666666667,0.5773502691896257,0.8866666666666667
Carmen Vasquez,1,D,5,CC Audience Awareness,9.0,0.0,0.89
Carmen Vasquez,1,D,5,Directive Clarity,9.0,0.0,0.89
Carmen Vasquez,1,D,5,Recipient-Interest Framing,9.0,0.0,0.89
Carmen Vasquez,1,D,5,Voice Matching,8.0,0.0,0.89
Derek Liang,0,A,1,Subject Line as Message,9.0,0.0,0.74
Derek Liang,0,A,1,Raw Evidence Over Prose Description,4.666666666666667,0.5773502691896257,0.74
Derek Liang,0,A,1,Single Responder Principle,8.0,0.0,0.74
Derek Liang,0,A,1,Radical Brevity,8.0,0.0,0.74
Derek Liang,0,C,1,Subject Line as Message,9.0,0.0,0.7366666666666666
Derek Liang,0,C,1,Raw Evidence Over Prose Description,4.666666666666667,0.5773502691896257,0.7366666666666666
Derek Liang,0,C,1,Single Responder Principle,7.666666666666667,0.5773502691896257,0.7366666666666666
Derek Liang,0,C,1,Radical Brevity,8.333333333333334,0.5773502691896257,0.7366666666666666
Derek Liang,0,C,2,Subject Line as Message,10.0,0.0,0.99
Derek Liang,0,C,2,Raw Evidence Over Prose Description,10.0,0.0,0.99
Derek Liang,0,C,2,Single Responder Principle,10.0,0.0,0.99
Derek Liang,0,C,2,Radical Brevity,9.0,0.0,0.99
Derek Liang,0,C,3,Subject Line as Message,10.0,0.0,0.99
Derek Liang,0,C,3,Raw Evidence Over Prose Description,10.0,0.0,0.99
Derek Liang,0,C,3,Single Responder Principle,10.0,0.0,0.99
Derek Liang,0,C,3,Radical Brevity,9.0,0.0,0.99
Derek Liang,0,C,4,Subject Line as Message,10.0,0.0,0.9933333333333333
Derek Liang,0,C,4,Raw Evidence Over Prose Description,10.0,0.0,0.9933333333333333
Derek Liang,0,C,4,Single Responder Principle,10.0,0.0,0.9933333333333333
Derek Liang,0,C,4,Radical Brevity,9.333333333333334,0.5773502691896257,0.9933333333333333
Derek Liang,0,C,5,Subject Line as Message,10.0,0.0,0.9966666666666667
Derek Liang,0,C,5,Raw Evidence Over Prose Description,10.0,0.0,0.9966666666666667
Derek Liang,0,C,5,Single Responder Principle,10.0,0.0,0.9966666666666667
Derek Liang,0,C,5,Radical Brevity,9.666666666666666,0.5773502691896257,0.9966666666666667
Derek Liang,0,D,1,Subject Line as Message,9.0,0.0,0.7666666666666667
Derek Liang,0,D,1,Raw Evidence Over Prose Description,4.333333333333333,0.5773502691896257,0.7666666666666667
Derek Liang,0,D,1,Single Responder Principle,9.333333333333334,1.1547005383792515,0.7666666666666667
Derek Liang,0,D,1,Radical Brevity,9.0,0.0,0.7666666666666667
Derek Liang,0,D,2,Subject Line as Message,10.0,0.0,0.98
Derek Liang,0,D,2,Raw Evidence Over Prose Description,10.0,0.0,0.98
Derek Liang,0,D,2,Single Responder Principle,9.0,0.0,0.98
Derek Liang,0,D,2,Radical Brevity,10.0,0.0,0.98
Derek Liang,0,D,3,Subject Line as Message,10.0,0.0,0.99
Derek Liang,0,D,3,Raw Evidence Over Prose Description,10.0,0.0,0.99
Derek Liang,0,D,3,Single Responder Principle,9.666666666666666,0.5773502691896257,0.99
Derek Liang,0,D,3,Radical Brevity,9.666666666666666,0.5773502691896257,0.99
Derek Liang,0,D,4,Subject Line as Message,10.0,0.0,0.9933333333333333
Derek Liang,0,D,4,Raw Evidence Over Prose Description,10.0,0.0,0.9933333333333333
Derek Liang,0,D,4,Single Responder Principle,9.666666666666666,0.5773502691896257,0.9933333333333333
Derek Liang,0,D,4,Radical Brevity,10.0,0.0,0.9933333333333333
Derek Liang,0,D,5,Subject Line as Message,10.0,0.0,1.0
Derek Liang,0,D,5,Raw Evidence Over Prose Description,10.0,0.0,1.0
Derek Liang,0,D,5,Single Responder Principle,10.0,0.0,1.0
Derek Liang,0,D,5,Radical Brevity,10.0,0.0,1.0
Derek Liang,1,A,1,Subject Line as Message,9.0,0.0,0.8
Derek Liang,1,A,1,Raw Evidence Over Prose Description,5.0,0.0,0.8
Derek Liang,1,A,1,Single Responder Principle,10.0,0.0,0.8
Derek Liang,1,A,1,Radical Brevity,9.0,0.0,0.8
Derek Liang,1,C,1,Subject Line as Message,9.0,0.0,0.76
Derek Liang,1,C,1,Raw Evidence Over Prose Description,4.666666666666667,0.5773502691896257,0.76
Derek Liang,1,C,1,Single Responder Principle,9.0,0.0,0.76
Derek Liang,1,C,1,Radical Brevity,8.0,0.0,0.76
Derek Liang,1,C,2,Subject Line as Message,9.0,0.0,0.8166666666666668
Derek Liang,1,C,2,Raw Evidence Over Prose Description,6.0,0.0,0.8166666666666668
Derek Liang,1,C,2,Single Responder Principle,9.333333333333334,0.5773502691896257,0.8166666666666668
Derek Liang,1,C,2,Radical Brevity,9.0,0.0,0.8166666666666668
Derek Liang,1,C,3,Subject Line as Message,9.0,0.0,0.8766666666666667
Derek Liang,1,C,3,Raw Evidence Over Prose Description,8.0,0.0,0.8766666666666667
Derek Liang,1,C,3,Single Responder Principle,9.0,0.0,0.8766666666666667
Derek Liang,1,C,3,Radical Brevity,9.666666666666666,0.5773502691896257,0.8766666666666667
Derek Liang,1,C,4,Subject Line as Message,9.0,0.0,0.8733333333333333
Derek Liang,1,C,4,Raw Evidence Over Prose Description,8.0,0.0,0.8733333333333333
Derek Liang,1,C,4,Single Responder Principle,9.0,0.0,0.8733333333333333
Derek Liang,1,C,4,Radical Brevity,9.333333333333334,0.5773502691896257,0.8733333333333333
Derek Liang,1,C,5,Subject Line as Message,9.0,0.0,0.8733333333333333
Derek Liang,1,C,5,Raw Evidence Over Prose Description,7.333333333333333,0.5773502691896257,0.8733333333333333
Derek Liang,1,C,5,Single Responder Principle,10.0,0.0,0.8733333333333333
Derek Liang,1,C,5,Radical Brevity,9.333333333333334,0.5773502691896257,0.8733333333333333
Derek Liang,1,D,1,Subject Line as Message,9.0,0.0,0.7766666666666666
Derek Liang,1,D,1,Raw Evidence Over Prose Description,5.0,0.0,0.7766666666666666
Derek Liang,1,D,1,Single Responder Principle,8.666666666666666,0.5773502691896257,0.7766666666666666
Derek Liang,1,D,1,Radical Brevity,9.333333333333334,0.5773502691896257,0.7766666666666666
Derek Liang,1,D,2,Subject Line as Message,9.0,0.0,0.88
Derek Liang,1,D,2,Raw Evidence Over Prose Description,9.0,0.0,0.88
Derek Liang,1,D,2,Single Responder Principle,8.0,0.0,0.88
Derek Liang,1,D,2,Radical Brevity,9.0,0.0,0.88
Derek Liang,1,D,3,Subject Line as Message,9.666666666666666,0.5773502691896257,0.9499999999999998
Derek Liang,1,D,3,Raw Evidence Over Prose Description,9.0,0.0,0.9499999999999998
Derek Liang,1,D,3,Single Responder Principle,10.0,0.0,0.9499999999999998
Derek Liang,1,D,3,Radical Brevity,9.333333333333334,0.5773502691896257,0.9499999999999998
Derek Liang,1,D,4,Subject Line as Message,10.0,0.0,0.96
Derek Liang,1,D,4,Raw Evidence Over Prose Description,9.0,0.0,0.96
Derek Liang,1,D,4,Single Responder Principle,10.0,0.0,0.96
Derek Liang,1,D,4,Radical Brevity,9.0,0.0,0.96
Derek Liang,1,D,5,Subject Line as Message,10.0,0.0,0.96
